report_id,after_tax_irr,after_tax_npv_10_currency,after_tax_npv_10_in_millions,after_tax_npv_5_currency,after_tax_npv_5_in_millions,after_tax_npv_8_currency,after_tax_npv_8_in_millions,aud_usd_exchange_rate,author_company,cad_usd_exchange_rate,capex_currency,commodity_price_currency,company_name,copper_cut_off_grade,copper_cut_off_grade_units,copper_metallurgical_recovery,copper_price,copper_price_currency,copper_price_units,country,deposit_type,effective_date,g_and_a_cost_currency,g_and_a_cost_dollars_per_t_milled,gold_cut_off_grade,gold_cut_off_grade_units,gold_metallurgical_recovery,gold_price,gold_price_currency,gold_price_units,initial_capex_currency,initial_capex_in_millions,iron_cut_off_grade,iron_cut_off_grade_units,iron_metallurgical_recovery,iron_price,iron_price_currency,iron_price_units,is_in_northern_hemisphere,lat,lead_cut_off_grade,lead_cut_off_grade_units,lead_metallurgical_recovery,lead_price,lead_price_currency,lead_price_units,life_of_mine,long,main_currency,mine_type,open_pit_mining_cost_currency,open_pit_mining_cost_dollars_per_t_milled_or_processed,open_pit_mining_cost_dollars_per_t_mined_or_moved,opex_currency,pre_tax_irr,pre_tax_npv_10_currency,pre_tax_npv_10_in_millions,pre_tax_npv_5_currency,pre_tax_npv_5_in_millions,pre_tax_npv_8_currency,pre_tax_npv_8_in_millions,processing_cost_currency,processing_cost_dollars_per_t_milled,processing_method,processing_rate,produces_copper,produces_gold,produces_iron,produces_lead,produces_silver,produces_sulphur,produces_zinc,project_name,silver_cut_off_grade,silver_cut_off_grade_units,silver_metallurgical_recovery,silver_price,silver_price_currency,silver_price_units,stripping_ratio,subdivision,sulphur_cut_off_grade,sulphur_cut_off_grade_units,sulphur_metallurgical_recovery,sulphur_price,sulphur_price_currency,sulphur_price_units,total_material_mined,total_operating_cost_currency,total_operating_cost_dollars_per_t_milled,total_ore_mined,total_waste_mined,underground_mining_cost_currency,underground_mining_cost_dollars_per_t_milled_or_processed,underground_mining_cost_dollars_per_t_mined_or_moved,underground_mining_method,zinc_cut_off_grade,zinc_cut_off_grade_units,zinc_metallurgical_recovery,zinc_price,zinc_price_currency,zinc_price_units
2001-000004187 Manhattan Minerals Corp-f1-00403738_1-3-1,,,,,,,,,,,,,,,,,,,,Perú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-000018708 Frontera Copper Corporation-f1-00489824_1-1-1,,,,,,,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-000003801 Yamana Gold Inc-f1-00713115_1-3-1,,,,,,,,,,,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,-14.83333333,,,,,,,,-59.61666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-000005505 ALAMOS GOLD INC-f1-00656783_1-2-1,,,,,,,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-000020335 Quadra Mining Ltd-f1-00615516_1-1-1,,,,,,,,,,,,,,,,,,,,United States of America (USA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-000020823 Equinox Minerals Limited-f1-00650726_1-10-1,,,,,,,,,,,,,,,,,,,,Zambia,,,,,,,,,,,,,,,,,,,,-12.06666667,,,,,,,,25.716666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-000020933 Coeur D'Alene Mines Corporation-f1-00681119_1-8-1,,,,,,,,,,,,,,,,,,,,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-000020964 Peru Copper Inc-f1-00671100_1-10-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000001815 Olympus Pacific Minerals Inc-f1-00788160_1-2-1,,,,,,,,,,,,,,,,,,,,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000002331 European Minerals Corporation-f1-00733423_1-1-1,,,,,,,,,,,,,,,,,,,,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000002488 Cumberland Resources Ltd-f1-00759713_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,-96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000003862 Canico Resource Corp-f1-00815347_2-5-1,,,,,,,,,,,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,-6.5,,,,,,,,-51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000003862 Canico Resource Corp-f1-00815347_2-8-1,,,,,,,,,,,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,-6.5,,,,,,,,-51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000005784 Tiberon Minerals Ltd-f1-00805816_1-2-1,,,,,,,,,,,,,,,,,,,,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000007910 ABCOURT MINES INC-f1-00753133_1-1-1,,,,,,,,,,,,,,,,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000016269 Jinshan Gold Mines Inc-f1-00767786_1-2-1,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,41.66666666666666,,,,,,,,109.23333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000016269 Jinshan Gold Mines Inc-f1-00839904_2-2-2,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,41.66666666666666,,,,,,,,109.23333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-000019857 MUNDORO MINING INC-f1-00797576_1-2-1,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,40.16666666666666,,,,,,,,122.81194444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
